"Item.Number","Item.Description"
76036,"Midnight Moon Apple Pie"
54647,"Arrow Blackberry Flav Brandy"
34052,"Absolut Raspberri"
89242,"Corralejo Reposado Tequila"
34026,"Absolut Peppar"
68611,"McCormick's Irish Cream"
87403,"Jose Cuervo Especial Silver"
19068,"Jim Beam"
86884,"Southern Comfort"
316,"Absolut with Ginger Beer"
64336,"B&b D.o.m."
25601,"Seagrams 7 Crown Bl Whiskey Mini"
18906,"J.R. Ewing Private Reserve"
89175,"Don Julio Anejo Tequila"
36974,"Nikolai Vodka"
19486,"Maker's 46"
6997,"Clan Macgregor Scotch"
38180,"Titos Handmade Mini"
27799,"Uncle Bob's Root Beer Mini"
37347,"Phillips Vodka"
89533,"Familia Camarena Reposado"
36592,"Kinky Vodka"
42240,"Blue Chair Bay White"
14199,"Pendleton Canadian Whisky"
10632,"Canadian Club Reserve Triple Aged"
43287,"Captain Morgan Parrot Bay Mango"
44419,"Cruzan Black Cherry Rum"
52597,"E & J Vs Brandy Square"
67610,"Luxardo Maraschino Cherry"
43134,"Bacardi Limon"
36186,"Gordon's Vodka 80 Prf"
22121,"Wild Turkey 81"
40593,"New Amsterdam Peach"
32234,"Seagrams Extra Dry Gin"
19226,"Knob Creek"
15667,"Jameson Black Barrel"
56006,"Christian Bros Peach"
10555,"Black Velvet Toasted Caramel"
43237,"Captain Morgan Parrot Bay Strawberry"
12406,"Canadian Ltd Whisky"
82627,"Dekuyper Cherry Pucker"
83907,"Maui Blue Hawaiian Schnapps"
34820,"Svedka Vodka"
65195,"Hpnotiq"
64645,"Domaine de Canton"
76486,"Paramount Amaretto"
88766,"Tortilla White Tequila"
36976,"Nikolai Vodka"
56206,"Paramount Peach Flavored Brandy"
86691,"Jack Daniel's Tennessee Fire Mini"
4616,"Buchanan Special Reserve 18YR"
73140,"Chila Orchata"
26823,"Jack Daniels Old #7 Black Lbl"
17958,"Evan Williams Yr Str Bourbon"
43120,"Bacardi Superior PET"
49185,"Remy Martin Vsop (flask)"
4867,"Dewars White Label Scotch"
24456,"Kessler Blend Whiskey"
34578,"Pinnacle Vodka"
40152,"Deep Eddy Cranberry"
74772,"Howdys Apple Pie"
68049,"Bailey's Vanilla Cinnamon"
80336,"Mothers Pumpkin Spiced Liqueur"
15856,"Redbreast 12YR"
43984,"Admiral Nelson Cherry Spiced Rum"
69666,"Dr. Mcgillicuddy's Vanilla"
29568,"Burnett's Gin London Dry"
11520,"Alberta Rye Dark Batch"
5701,"Oban Little Bay"
